;;0114 Upplands Väsby;0115 Vallentuna;0117 Österåker;0120 Värmdö;0123 Järfälla;0125 Ekerö;0126 Huddinge;0127 Botkyrka;0128 Salem;0136 Haninge;0138 Tyresö;0139 Upplands-Bro;0140 Nykvarn;0160 Täby;0162 Danderyd;0163 Sollentuna;0180 Stockholm;0181 Södertälje;0182 Nacka;0183 Sundbyberg;0184 Solna;0186 Lidingö;0187 Vaxholm;0188 Norrtälje;0191 Sigtuna;0192 Nynäshamn;0305 Håbo;0319 Älvkarleby;0330 Knivsta;0331 Heby;0360 Tierp;0380 Uppsala;0381 Enköping;0382 Östhammar;0428 Vingåker;0461 Gnesta;0480 Nyköping;0481 Oxelösund;0482 Flen;0483 Katrineholm;0484 Eskilstuna;0486 Strängnäs;0488 Trosa;0509 Ödeshög;0512 Ydre;0513 Kinda;0560 Boxholm;0561 Åtvidaberg;0562 Finspång;0563 Valdemarsvik;0580 Linköping;0581 Norrköping;0582 Söderköping;0583 Motala;0584 Vadstena;0586 Mjölby;0604 Aneby;0617 Gnosjö;0642 Mullsjö;0643 Habo;0662 Gislaved;0665 Vaggeryd;0680 Jönköping;0682 Nässjö;0683 Värnamo;0684 Sävsjö;0685 Vetlanda;0686 Eksjö;0687 Tranås;0760 Uppvidinge;0761 Lessebo;0763 Tingsryd;0764 Alvesta;0765 Älmhult;0767 Markaryd;0780 Växjö;0781 Ljungby;0821 Högsby;0834 Torsås;0840 Mörbylånga;0860 Hultsfred;0861 Mönsterås;0862 Emmaboda;0880 Kalmar;0881 Nybro;0882 Oskarshamn;0883 Västervik;0884 Vimmerby;0885 Borgholm;0980 Gotland;1060 Olofström;1080 Karlskrona;1081 Ronneby;1082 Karlshamn;1083 Sölvesborg;1214 Svalöv;1230 Staffanstorp;1231 Burlöv;1233 Vellinge;1256 Östra Göinge;1257 Örkelljunga;1260 Bjuv;1261 Kävlinge;1262 Lomma;1263 Svedala;1264 Skurup;1265 Sjöbo;1266 Hörby;1267 Höör;1270 Tomelilla;1272 Bromölla;1273 Osby;1275 Perstorp;1276 Klippan;1277 Åstorp;1278 Båstad;1280 Malmö;1281 Lund;1282 Landskrona;1283 Helsingborg;1284 Höganäs;1285 Eslöv;1286 Ystad;1287 Trelleborg;1290 Kristianstad;1291 Simrishamn;1292 Ängelholm;1293 Hässleholm;1315 Hylte;1380 Halmstad;1381 Laholm;1382 Falkenberg;1383 Varberg;1384 Kungsbacka;1401 Härryda;1402 Partille;1407 Öckerö;1415 Stenungsund;1419 Tjörn;1421 Orust;1427 Sotenäs;1430 Munkedal;1435 Tanum;1438 Dals-Ed;1439 Färgelanda;1440 Ale;1441 Lerum;1442 Vårgårda;1443 Bollebygd;1444 Grästorp;1445 Essunga;1446 Karlsborg;1447 Gullspång;1452 Tranemo;1460 Bengtsfors;1461 Mellerud;1462 Lilla Edet;1463 Mark;1465 Svenljunga;1466 Herrljunga;1470 Vara;1471 Götene;1472 Tibro;1473 Töreboda;1480 Göteborg;1481 Mölndal;1482 Kungälv;1484 Lysekil;1485 Uddevalla;1486 Strömstad;1487 Vänersborg;1488 Trollhättan;1489 Alingsås;1490 Borås;1491 Ulricehamn;1492 Åmål;1493 Mariestad;1494 Lidköping;1495 Skara;1496 Skövde;1497 Hjo;1498 Tidaholm;1499 Falköping;1715 Kil;1730 Eda;1737 Torsby;1760 Storfors;1761 Hammarö;1762 Munkfors;1763 Forshaga;1764 Grums;1765 Årjäng;1766 Sunne;1780 Karlstad;1781 Kristinehamn;1782 Filipstad;1783 Hagfors;1784 Arvika;1785 Säffle;1814 Lekeberg;1860 Laxå;1861 Hallsberg;1862 Degerfors;1863 Hällefors;1864 Ljusnarsberg;1880 Örebro;1881 Kumla;1882 Askersund;1883 Karlskoga;1884 Nora;1885 Lindesberg;1904 Skinnskatteberg;1907 Surahammar;1960 Kungsör;1961 Hallstahammar;1962 Norberg;1980 Västerås;1981 Sala;1982 Fagersta;1983 Köping;1984 Arboga;2021 Vansbro;2023 Malung-Sälen;2026 Gagnef;2029 Leksand;2031 Rättvik;2034 Orsa;2039 Älvdalen;2061 Smedjebacken;2062 Mora;2080 Falun;2081 Borlänge;2082 Säter;2083 Hedemora;2084 Avesta;2085 Ludvika;2101 Ockelbo;2104 Hofors;2121 Ovanåker;2132 Nordanstig;2161 Ljusdal;2180 Gävle;2181 Sandviken;2182 Söderhamn;2183 Bollnäs;2184 Hudiksvall;2260 Ånge;2262 Timrå;2280 Härnösand;2281 Sundsvall;2282 Kramfors;2283 Sollefteå;2284 Örnsköldsvik;2303 Ragunda;2305 Bräcke;2309 Krokom;2313 Strömsund;2321 Åre;2326 Berg;2361 Härjedalen;2380 Östersund;2401 Nordmaling;2403 Bjurholm;2404 Vindeln;2409 Robertsfors;2417 Norsjö;2418 Malå;2421 Storuman;2422 Sorsele;2425 Dorotea;2460 Vännäs;2462 Vilhelmina;2463 Åsele;2480 Umeå;2481 Lycksele;2482 Skellefteå;2505 Arvidsjaur;2506 Arjeplog;2510 Jokkmokk;2513 Överkalix;2514 Kalix;2518 Övertorneå;2521 Pajala;2523 Gällivare;2560 Älvsbyn;2580 Luleå;2581 Piteå;2582 Boden;2583 Haparanda;2584 Kiruna
2019M06;5-14 år;5903;5163;6257;6373;10384;4638;16282;12909;2602;12049;6863;4121;1651;10389;5100;10745;107142;12239;15280;5563;7379;6705;1738;6356;6581;3301;3029;1116;3116;1524;2349;26279;5508;2392;1055;1455;6758;1344;1910;4168;13347;4632;1666;568;394;1098;586;1267;2477;782;18967;17443;1811;5049;702;3374;822;1179;975;2010;3798;1854;16881;3892;4143;1507;3314;2037;2252;1120;1176;1299;2667;2456;1206;11491;3203;743;757;1930;1596;1542;1045;7950;2300;3055;3850;1732;948;6419;1436;7967;3701;3647;1928;1873;3844;2548;5073;1969;1203;2078;4759;4134;3367;1953;2176;1805;2161;1544;1629;1620;980;2052;2288;1524;40435;14510;5596;17555;3370;4406;3214;5416;10215;1742;4947;5930;1439;12087;2945;5217;7709;11922;6119;5535;1569;3599;1789;1541;725;1230;1357;530;743;4308;6574;1488;1324;638;674;714;484;1437;1034;1018;1702;4264;1217;1101;1809;1576;1308;1001;62978;8818;5877;1486;6891;1534;4873;7267;5224;13734;2857;1442;2609;4620;2163;6215;1041;1443;4150;1483;959;1132;400;2485;387;1416;981;1073;1357;9988;2624;1123;1048;2812;1666;1175;575;1985;985;712;454;18831;2985;1185;3308;1279;2707;439;1189;1023;1940;613;18337;2701;1633;3101;1470;735;1012;1306;1668;999;668;753;1189;2276;7140;6632;1265;1662;2606;3145;601;991;1261;1096;2060;11821;4464;2724;2990;4197;899;2054;2836;11438;1750;2051;6598;576;625;2199;1151;1389;729;898;7326;734;259;635;772;461;334;596;241;268;1115;718;252;14681;1433;8140;630;265;447;259;1533;377;608;1706;842;8463;4603;2799;1097;2527
;15-24 år;5190;4033;5392;5243;9304;3265;13682;11887;2074;10659;6042;3363;1236;8545;4365;8893;95344;11730;11946;4456;6904;5594;1465;6160;5672;2983;2599;928;2193;1539;2256;30028;4906;2127;1064;1155;6081;1082;1857;4025;12685;3846;1355;560;380;1057;552;1192;2256;723;21956;16549;1424;4751;753;2996;676;1147;763;1269;3532;1530;17347;3692;3928;1335;3095;1926;2267;1075;993;1270;2162;1843;1098;12144;3024;650;694;1333;1497;1407;990;8162;2070;2939;3580;1737;959;6037;1441;7996;3097;3484;1826;1587;2716;2122;4072;1716;1107;1853;3440;2676;2317;1787;1891;1634;1767;1451;1335;1418;838;2026;1876;1412;35622;18679;5020;16548;2692;3902;3015;4716;9866;1804;4326;5842;1249;11742;2652;4871;6575;9823;4234;4443;1484;3062;1481;1447;794;1104;1213;514;693;3543;4807;1312;959;599;568;644;541;1299;985;968;1443;3877;1103;1020;1704;1349;1181;1039;64714;7766;4886;1424;6429;1293;4494;7237;4495;13323;2663;1419;2543;4389;2138;6651;933;1376;3819;1186;781;1092;412;1577;355;1203;887;1101;1450;11509;2433;1167;1087;2710;1660;698;584;1691;1047;737;467;20270;2448;1097;3450;1076;2574;421;996;952;1719;601;17786;2418;1402;2873;1608;711;1012;1016;1632;1062;787;730;949;1942;6586;6332;1010;1658;2306;2761;535;1050;1192;898;2028;11912;4305;2515;2825;3978;933;2056;2716;11075;1875;1917;5813;473;667;1521;1126;1236;691;1043;7069;797;269;530;626;387;338;587;261;225;1015;774;314;16773;1273;7942;620;264;498;314;1628;456;612;1633;925;9483;4743;3085;979;2591
;25-34 år;6482;3595;4719;4853;11541;2250;15626;13461;1844;13727;5483;4102;1152;7130;3101;8679;180657;14949;12444;11624;18790;5031;966;7390;7037;3478;2423;1090;2362;1705;2539;40860;5882;2555;919;1228;6773;1375;1575;4377;14259;3856;1382;549;348;998;576;1194;2536;786;26598;21025;1496;5082;716;3543;887;1152;823;1372;3535;1758;21401;3993;4206;1332;3241;2139;2306;1114;925;1250;2348;2133;1185;14141;3558;601;674;1331;1518;1524;959;10364;2445;3256;3949;1882;870;6696;1557;8734;3297;3842;1890;1753;2388;2282;2683;1795;1177;1818;3126;1632;2313;1759;2215;1893;1806;1546;1357;1504;975;2139;2005;1345;64385;20662;6076;21509;2233;4261;3186;5381;11122;1756;4906;6398;1249;14786;2812;5448;7727;7970;3597;4643;1097;3026;1582;1372;833;1211;1345;583;725;4018;4082;1446;992;593;613;765;460;1306;1051;1072;1905;3984;1174;1095;1846;1321;1330;989;110834;10656;5775;1401;7558;1694;4836;8545;5052;16558;2778;1314;2956;5029;2351;9013;980;1641;4129;1359;1118;1261;390;1722;406;1284;1057;1161;1472;14307;2773;1182;1166;2991;1639;987;556;1875;962;759;465;23931;2686;1139;3677;1123;2661;433;1104;938;2028;609;22211;2684;1625;3233;1674;771;1140;1083;1540;1050;801;719;1074;2363;7591;7404;1267;1762;2896;3428;683;1067;1313;998;2037;14157;4715;2884;3114;4329;1011;1978;2993;12868;1860;1999;6512;601;598;1441;1264;1726;763;1113;9111;716;269;538;755;407;325;578;242;247;1113;790;285;22475;1545;8774;779;309;579;359;1714;377;558;2344;933;10938;5226;3567;914;3245
;35-44 år;6563;4711;5654;5639;11243;3727;16661;13786;2160;12954;6295;4081;1483;9224;3632;10014;149131;13167;14607;8273;13411;6036;1319;6311;6878;3218;2723;994;2858;1420;2227;28974;4974;2160;864;1341;6371;1281;1603;3613;12675;4235;1549;546;353;985;534;1168;2336;721;19935;17382;1653;4811;638;3235;709;1177;842;1751;3315;1699;17085;3442;3893;1231;2875;1908;1956;1039;979;1201;2426;2452;1131;11405;3182;612;702;1747;1364;1352;954;8233;2095;2926;3498;1623;947;6169;1332;7936;3358;3369;1924;1832;3597;2682;4356;1597;1127;1901;4351;3411;3179;1912;2158;1825;2075;1525;1456;1422;785;1959;2037;1510;51737;15554;5750;18544;3038;4167;3279;5449;9722;1592;4882;5738;1170;12090;2731;4937;7353;10079;5475;5414;1327;3180;1649;1411;854;1128;1294;486;641;4241;5834;1319;1219;556;586;701;419;1292;889;881;1729;3885;1093;975;1803;1400;1211;931;81586;9501;5445;1392;6372;1643;4266;6826;4888;13730;2778;1258;2444;4413;2040;6452;999;1267;3675;1327;838;1157;364;2262;325;1286;836;1063;1269;10765;2472;1016;1010;2776;1459;1073;502;1819;945;573;477;19032;2659;1110;3071;1119;2552;385;1097;919;1733;567;18697;2440;1456;2782;1394;627;1065;1086;1560;985;601;728;1114;2135;7049;5942;1211;1511;2480;2873;564;873;1133;912;1876;11974;4183;2308;2856;3812;857;2023;2679;11594;1694;1914;6337;487;515;1814;1093;1552;649;947;7456;736;203;587;712;393;312;585;244;220;992;631;244;16642;1232;8222;636;265;469;256;1466;324;426;1819;829;8985;4708;2988;937;2434
;45-54 år;6579;5347;7285;7301;10541;4676;16241;13042;2636;12496;7668;3928;1698;11044;5142;11241;125236;13678;15771;6224;9207;6883;1985;7758;6804;4022;3443;1247;2637;1660;2744;26746;6063;2697;1150;1507;7054;1391;2010;4250;13946;5066;1894;687;462;1288;722;1572;2909;959;19841;18374;1954;5991;961;3729;808;1350;941;1569;4244;1846;17608;4051;4686;1433;3542;2185;2467;1282;1075;1599;2360;2222;1279;11403;3819;728;943;1895;1756;1719;1182;8719;2579;3631;4633;2012;1248;7724;1766;8559;3811;4349;2316;2008;3641;2402;5859;1986;1284;2270;4949;3916;3159;2282;2619;2019;2370;1574;1767;1703;960;2406;2250;1840;40115;14477;5922;19585;3731;4679;3892;6249;10935;2206;5741;6967;1426;12913;3320;5588;8111;13010;5881;5459;1835;3925;1979;1956;1172;1297;1538;575;870;4398;6471;1556;1309;800;724;862;651;1555;1239;1078;1837;4670;1416;1271;2111;1792;1457;1165;70741;9652;6241;1830;7322;1695;5178;7692;5322;14522;3221;1664;3083;5275;2550;7061;1200;1705;4130;1552;1119;1470;532;2368;488;1591;1215;1392;1764;11692;3192;1296;1504;3337;2039;1009;756;2089;1348;840;628;19228;3040;1388;4155;1392;2977;562;1317;1151;2042;682;20437;2902;1768;3348;1811;882;1343;1284;2024;1314;913;879;1372;2599;7344;6502;1372;1958;2904;3274;785;1240;1461;1206;2382;13528;5348;3365;3325;4870;1225;2576;3056;13635;2325;2268;7147;645;918;2032;1333;1478;814;1274;8005;916;277;621;785;500;349;708;309;273;1104;749;318;15060;1449;9204;737;361;633;348;2125;482;614;2163;1032;10367;5564;3600;1119;3046
;55-64 år;4799;3725;4953;5254;8326;3352;12029;9966;1570;9281;5381;3077;1216;7965;3716;8133;106737;11251;11309;5179;7882;5357;1475;8379;5173;3509;2370;1237;1805;1980;2708;23145;5479;3014;1225;1346;6767;1504;2227;4192;12238;4332;1610;674;536;1295;752;1461;2690;1070;16781;16110;1840;5529;1051;3174;957;1146;819;1254;3785;1730;14829;3748;4447;1380;3326;2192;2124;1161;1013;1676;2371;1962;1208;9483;3584;862;996;1928;2048;1770;1317;7656;2592;3168;4965;2036;1639;8148;1790;7454;3465;4047;2258;1693;2462;2081;4170;1754;1366;1876;3171;2612;2244;1920;2620;2062;2112;1802;1511;1585;935;2165;1677;2098;34722;12044;5294;16795;3332;3944;4017;5697;10144;2834;5115;6289;1330;11656;3311;5610;8071;9819;4259;4415;1772;3187;2266;2250;1302;1344;1783;584;883;3247;4471;1421;1104;787;739;848;863;1544;1299;1282;1834;4397;1454;1234;2117;1838;1358;1345;61338;7557;5648;2063;6794;1559;4854;6640;4738;12481;3135;1658;3121;5063;2314;6264;1084;1703;4045;1478;1195;1670;582;1862;539;1343;1203;1284;1922;10640;3187;1389;1896;3314;2056;932;809;1964;1290;947;700;16159;2294;1616;3727;1304;3020;636;1269;1090;1976;799;17221;2866;1583;3274;1815;917;1354;1338;2054;1451;985;979;1575;2622;6974;6021;1501;2193;2980;3317;821;1345;1545;1304;2521;11950;4762;3494;3445;4884;1422;2200;3053;11706;2658;2725;6861;751;928;1807;1670;1384;1011;1405;7289;915;306;702;976;559;425;847;378;415;1042;958;397;12767;1599;9338;857;415;733;518;2239;688;878;2559;1032;9451;5271;3583;1405;3030
;65-74 år;4275;2757;4584;4512;6872;2599;8450;7441;1421;7644;3955;2708;1077;6673;3019;6037;82783;8353;9250;3853;6854;4896;1478;8948;3720;3449;2231;1265;1579;1842;2679;21462;5062;3249;1374;1523;6963;1718;2498;4247;11208;4594;1903;802;611;1411;787;1593;2850;1407;14573;14862;2050;5453;1220;3108;860;1160;989;1240;3187;1501;13751;3566;3824;1436;3425;2317;2262;1198;1107;1745;2433;1850;1325;9303;3450;832;1096;2355;1915;1840;1278;7470;2510;3410;5494;2027;2076;8322;1712;7682;3759;4069;2334;1451;2215;1760;4282;1762;1314;1631;3256;2375;2226;1862;2546;1928;1915;1807;1692;1684;806;2170;1596;2424;28004;11429;5129;14636;3789;3381;4438;5104;9769;3535;5234;6102;1280;10887;3588;5758;8243;8650;3384;3515;1803;2770;2553;2553;1713;1351;2022;673;965;3013;3868;1396;1134;787;828;1131;885;1575;1530;1373;1626;4279;1518;1272;2046;1873;1401;1331;49929;5773;4703;2346;6177;1606;4601;5941;4848;11220;3061;1681;3267;4814;2247;5819;1382;1522;3696;1598;1131;1754;668;1798;497;1425;1262;1314;1793;9972;3433;1552;1735;3568;2091;959;856;1995;1413;970;775;15187;2323;1794;3745;1559;3186;753;1374;1157;2021;869;15480;3084;1649;3239;1847;940;1434;1435;2441;1934;969;1026;1744;3001;7249;5575;1630;2152;3081;3401;997;1365;1735;1450;2818;11195;4938;3855;3680;5339;1354;2309;3515;11413;2954;2832;7384;802;998;1835;1833;1192;1082;1588;7455;1065;348;814;985;612;471;868;356;394;1004;942;444;12056;1566;9250;852;395;757;564;2384;826;1093;2273;1088;8705;5576;3805;1668;2532
;75-84 år;2828;2040;3083;2517;4894;1848;5147;4507;1196;5056;3205;1522;689;5283;2509;4225;46066;5727;5889;2047;4213;3475;835;5950;2694;2283;1379;786;787;1178;1725;12754;3252;2073;794;912;4870;1218;1584;2696;7423;2836;1149;496;393;953;492;1104;1921;831;9908;9385;1255;3509;838;2100;509;614;566;757;2163;980;9363;2252;2595;929;2295;1468;1700;760;682;1182;1458;1151;917;6066;2376;515;678;1396;1325;1196;914;4699;1887;2458;3733;1371;1338;5251;1309;5196;2646;2956;1660;854;1911;1204;3248;1150;862;1007;2150;2095;1323;1058;1510;1144;1194;1191;1142;1180;585;1342;1011;1639;17464;7202;3231;9597;2516;2192;2904;3472;6501;2257;3540;4417;802;7514;2145;3718;5080;6138;2145;2223;1096;1922;1461;1534;947;916;1233;504;543;2014;2913;810;685;475;462;750;564;969;938;876;910;2636;901;772;1283;1115;1000;781;29111;3655;3353;1475;4222;1059;3221;3918;3228;7703;1994;1176;2372;3325;1433;3826;844;1085;2562;1000;696;1180;360;1095;403;961;827;865;1106;6642;2183;984;1282;2256;1531;588;557;1251;965;782;528;9495;1540;1144;2829;1043;2018;437;887;734;1411;533;10718;1898;1098;2179;1367;690;917;876;1567;1227;665;714;1069;1941;4442;3648;958;1345;2020;2273;473;852;1120;874;1762;7448;3471;2405;2438;3284;892;1480;2316;7721;1756;1939;4822;536;611;1092;1186;663;695;1037;4640;669;242;494;574;408;285;605;261;284;665;615;304;7249;1072;5994;648;290;474;421;1699;499;762;1629;747;5707;3381;2421;909;1749
;85-94 år;759;574;836;643;1569;485;1625;1260;326;1244;970;399;142;1755;1009;1385;17591;1834;1903;682;1596;1431;205;1923;739;644;315;272;242;441;662;4485;1128;719;251;261;1723;427;526;1089;2506;878;273;188;130;345;162;386;702;282;3956;3313;388;1245;306;758;179;270;202;206;844;355;3629;951;986;392;970;609;700;338;240;551;652;546;372;2252;938;199;227;409;532;454;339;1825;715;812;1324;535;445;1808;501;1843;971;1096;534;294;555;376;848;398;308;300;596;639;419;369;502;469;427;423;341;465;225;519;300;590;7019;2457;1080;3530;862;790;1072;1250;2414;805;1384;1676;334;2791;771;1480;1882;1892;709;932;366;591;451;494;382;378;455;150;209;534;892;281;198;215;185;245;192;371;394;356;299;1091;299;277;494;355;366;283;11107;1435;1276;546;1650;370;1156;1486;1166;3008;766;469;814;1167;527;1469;302;439;1062;333;293;475;125;372;173;319;298;327;479;2571;839;426;495;987;621;201;228;419;302;270;157;3370;470;336;960;308;668;154;291;224;503;183;3827;689;436;869;435;233;338;289;538;498;249;270;317;659;1573;1339;322;498;746;916;194;327;402;278;668;2471;1079;877;859;1149;342;426;781;2681;678;759;1748;229;213;347;469;222;273;369;1651;260;122;214;224;133;120;243;114;134;242;230;119;2493;394;2212;231;109;170;157;578;194;249;612;312;1968;1167;840;287;668
2019M07;5-14 år;5918;5183;6270;6369;10387;4631;16332;12924;2604;12084;6866;4128;1654;10433;5094;10796;107041;12240;15334;5584;7377;6739;1744;6374;6553;3305;3043;1117;3107;1533;2342;26346;5517;2395;1057;1456;6779;1337;1903;4158;13382;4661;1677;569;393;1098;584;1264;2485;775;18961;17470;1802;5051;707;3385;820;1178;978;2006;3808;1861;16923;3896;4147;1502;3325;2042;2247;1115;1177;1304;2678;2456;1199;11509;3196;736;765;1924;1601;1551;1052;7947;2301;3055;3854;1730;946;6437;1441;7964;3708;3658;1935;1880;3848;2558;5077;1976;1200;2102;4749;4140;3371;1959;2171;1801;2165;1554;1628;1623;974;2060;2292;1530;40482;14533;5603;17584;3376;4410;3228;5421;10242;1734;4951;5940;1431;12091;2957;5224;7720;11951;6124;5544;1568;3598;1786;1538;723;1241;1361;533;745;4325;6582;1495;1325;636;671;707;483;1438;1034;1012;1694;4263;1220;1103;1826;1580;1312;1003;62996;8852;5876;1492;6907;1543;4869;7268;5229;13752;2861;1445;2613;4625;2161;6209;1038;1446;4158;1484;954;1121;401;2485;388;1418;985;1069;1356;10000;2626;1129;1052;2816;1672;1173;585;1989;986;724;451;18843;2985;1188;3314;1276;2713;441;1176;1018;1939;614;18367;2705;1634;3100;1465;736;1013;1301;1682;998;668;755;1188;2275;7146;6635;1269;1662;2610;3140;602;999;1269;1098;2062;11825;4460;2727;2990;4196;899;2057;2843;11454;1755;2040;6608;570;625;2206;1144;1386;729;898;7341;740;257;624;774;457;331;591;244;266;1114;717;255;14674;1432;8145;630;264;444;259;1518;377;608;1700;845;8458;4610;2805;1110;2518
;15-24 år;5207;4033;5387;5230;9326;3260;13688;11892;2069;10682;6024;3374;1230;8548;4365;8894;95788;11780;11951;4505;6916;5570;1463;6158;5687;2975;2594;931;2193;1540;2250;30129;4918;2128;1057;1145;6101;1075;1835;4024;12710;3841;1351;556;377;1061;553;1189;2259;723;21936;16591;1417;4751;755;3011;669;1136;762;1265;3531;1543;17359;3700;3934;1334;3101;1933;2274;1066;978;1275;2166;1838;1101;12134;3020;650;695;1340;1484;1395;983;8181;2082;2950;3565;1732;952;6011;1445;7999;3094;3487;1830;1574;2710;2135;4048;1727;1118;1853;3428;2669;2315;1787;1900;1622;1755;1450;1325;1402;834;2035;1871;1414;35822;18655;5038;16618;2691;3911;3012;4702;9874;1802;4327;5854;1244;11794;2641;4876;6602;9839;4213;4456;1485;3071;1474;1451;795;1115;1218;517;696;3544;4798;1309;963;599;568;636;534;1294;983;972;1450;3884;1094;1019;1717;1339;1184;1034;65005;7767;4897;1429;6429;1296;4492;7229;4504;13342;2661;1418;2545;4410;2152;6663;929;1386;3817;1184;781;1091;408;1575;343;1186;889;1101;1458;11528;2444;1165;1087;2708;1654;702;578;1690;1040;741;470;20302;2462;1097;3452;1075;2575;421;992;943;1718;594;17851;2422;1408;2861;1615;712;1005;1012;1629;1063;789;727;952;1934;6578;6324;1011;1657;2307;2738;535;1054;1188;896;2031;11911;4294;2522;2827;3992;938;2049;2721;11078;1871;1916;5830;469;670;1512;1124;1241;688;1048;7117;803;266;530;622;384;336;576;256;221;1007;774;312;16797;1279;7918;626;262;487;312;1624;455;612;1628;922;9449;4742;3087;978;2582
;25-34 år;6523;3611;4747;4873;11541;2291;15690;13452;1852;13800;5473;4120;1170;7158;3072;8703;180907;14980;12554;11690;18814;5031;970;7407;7042;3519;2449;1088;2363;1701;2548;40754;5884;2557;912;1235;6791;1378;1580;4382;14292;3883;1394;556;348;1004;575;1196;2555;785;26401;21040;1505;5103;716;3559;894;1161;823;1385;3532;1763;21404;3987;4210;1329;3244;2139;2302;1107;927;1258;2359;2136;1186;14113;3567;596;678;1333;1520;1516;961;10355;2463;3260;3967;1877;866;6693;1560;8707;3286;3851;1887;1749;2378;2301;2696;1786;1186;1839;3147;1637;2333;1757;2213;1893;1813;1558;1364;1499;976;2153;2000;1359;64465;20494;6080;21528;2236;4253;3198;5416;11151;1749;4916;6419;1247;14776;2827;5466;7743;8002;3607;4689;1092;3040;1575;1380;825;1218;1355;584;728;4011;4114;1456;992;604;612;761;459;1316;1044;1075;1902;3982;1189;1095;1855;1330;1337;992;110774;10670;5810;1408;7557;1700;4838;8542;5065;16512;2785;1320;2961;5034;2348;8982;983;1640;4130;1362;1118;1258;392;1731;409;1296;1060;1159;1469;14265;2780;1178;1162;3007;1640;993;553;1877;960;756;455;23875;2695;1141;3692;1128;2665;434;1109;941;2039;613;22228;2689;1624;3219;1676;776;1144;1095;1543;1059;802;715;1081;2366;7626;7390;1271;1774;2883;3438;684;1076;1317;999;2030;14143;4722;2895;3117;4326;1015;2002;2992;12876;1869;2001;6538;599;603;1464;1269;1729;763;1107;9109;720;270;536;758;405;326;576;241;246;1118;793;285;22389;1554;8782;773;308;578;357;1711;374;556;2345;931;10914;5232;3573;919;3229
;35-44 år;6581;4717;5670;5637;11255;3770;16699;13803;2167;12986;6311;4073;1485;9271;3631;10058;148844;13165;14657;8276;13398;6071;1324;6334;6882;3217;2738;994;2865;1414;2223;28997;4995;2160;866;1345;6388;1278;1605;3611;12674;4256;1557;545;352;984;536;1170;2338;717;19911;17396;1657;4809;642;3248;715;1178;847;1753;3319;1698;17117;3444;3891;1227;2877;1907;1960;1042;982;1215;2425;2451;1123;11416;3177;608;705;1751;1373;1352;950;8229;2100;2934;3504;1623;949;6181;1334;7949;3353;3376;1926;1833;3601;2680;4376;1596;1128;1916;4359;3418;3184;1921;2155;1825;2078;1539;1458;1423;789;1963;2040;1517;51705;15581;5768;18545;3044;4172;3287;5476;9747;1589;4888;5745;1172;12086;2736;4960;7373;10114;5494;5425;1325;3189;1654;1412;856;1128;1301;491;642;4241;5858;1315;1222;551;585;698;419;1295;890;878;1722;3870;1101;982;1807;1403;1213;931;81507;9540;5458;1392;6392;1645;4271;6827;4895;13734;2778;1256;2457;4420;2048;6435;995;1269;3673;1324;834;1157;362;2254;327;1281;841;1064;1276;10795;2480;1013;1014;2780;1461;1075;506;1820;947;573;471;19040;2666;1107;3078;1117;2554;386;1095;922;1726;569;18732;2444;1460;2777;1392;628;1072;1083;1570;989;603;731;1111;2132;7058;5945;1219;1511;2472;2880;566;871;1135;915;1888;11982;4188;2307;2854;3814;858;2026;2684;11610;1696;1904;6342;481;516;1814;1092;1557;650;949;7469;735;204;582;711;387;311;579;244;220;996;633;244;16626;1235;8224;633;262;470;254;1469;326;427;1823;831;8979;4720;3003;940;2426
;45-54 år;6583;5346;7281;7293;10544;4694;16240;13024;2631;12495;7663;3940;1693;11044;5142;11248;125267;13694;15793;6221;9196;6878;1991;7767;6803;4024;3437;1249;2629;1659;2747;26756;6072;2698;1153;1504;7053;1392;2009;4237;13946;5066;1900;685;463;1293;727;1569;2915;964;19846;18386;1944;5983;958;3739;801;1346;940;1568;4245;1856;17630;4043;4688;1434;3548;2189;2466;1286;1075;1596;2365;2224;1278;11401;3820;718;947;1897;1754;1718;1182;8726;2583;3626;4631;2004;1252;7736;1762;8544;3824;4348;2325;2008;3645;2407;5861;1984;1292;2276;4939;3918;3155;2285;2626;2019;2363;1576;1765;1706;960;2407;2250;1840;40166;14484;5931;19595;3736;4672;3892;6239;10950;2199;5736;6976;1426;12910;3315;5596;8117;13021;5876;5460;1839;3924;1979;1958;1168;1300;1537;574;872;4400;6466;1563;1309;799;721;858;650;1553;1238;1072;1835;4668;1422;1270;2116;1793;1459;1161;70779;9647;6240;1831;7326;1697;5172;7699;5319;14528;3224;1670;3085;5285;2553;7046;1201;1702;4130;1555;1117;1471;537;2363;487;1587;1217;1392;1762;11703;3192;1294;1506;3337;2040;1010;761;2086;1346;838;629;19254;3041;1392;4160;1388;2968;564;1319;1150;2044;675;20462;2900;1768;3334;1811;876;1338;1280;2034;1315;916;880;1378;2592;7340;6504;1376;1956;2902;3265;787;1247;1459;1207;2380;13510;5336;3370;3325;4879;1223;2572;3056;13638;2322;2268;7150;645;917;2034;1329;1475;812;1275;8001;916;279;624;782;500;348;709;309;268;1107;749;320;15066;1447;9208;739;360;631;348;2122;481;618;2164;1032;10365;5564;3604;1123;3044
